day.s,site,stage,sex,mass_div_100,year,area,uid,lnCort
18.3,1,P,F,3.2,2020,coyote_crow,R1016_R1261,2.51
18.9,1,P,F,3.6,2020,log_1_crow,R1016_R1261,2.78
19.6,1,P,F,3.75,2020,coyote_crow,R1016_R1261,2.85
20.2,1,P,F,3.9,2020,log_1_crow,R1016_R1261,3.58
20.9,1,P,F,3.55,2020,coyote_crow,R1016_R1261,2.86
14,1,A,F,7.5,2021,U_tree_crow,R1016_R1261,2.9
14.4,1,A,F,7.35,2021,B_area_crow,R1016_R1261,3.15
15.2,1,A,F,7.7,2021,J_tree_crow,R1016_R1261,3.23
16.5,1,A,F,8,2021,J_tree_crow,R1016_R1261,4.12
18.7,1,A,F,8.65,2021,580_crow,R1016_R1261,3.62
20,1,A,F,8.7,2021,W_tree_crow,R1016_R1261,3.5
14.6,1,A,F,5.8,2022,purgatory_crow,R1016_R1261,2.84
15.1,1,A,F,6.25,2022,log_1_crow,R1016_R1261,2.61
16.5,1,A,F,6.05,2022,log_1_crow,R1016_R1261,2.56
17.8,1,A,F,5.85,2022,log_1_crow,R1016_R1261,2.78
19.2,1,A,F,5.8,2022,T_tree_crow,R1016_R1261,2.61
16.8,0,P,M,3.55,2020,N_paradise,R1017,1.74
16.3,1,P,F,2.5,2020,Y_tree_crow,R1019,2.53
18.8,1,P,F,2.85,2020,oak_crow,R1019,3.32
16.7,0,A,F,5.1,2020,culvert_paradise,R1023,3.4
18.1,0,A,F,4.9,2020,culvert_paradise,R1023,3.45
19.5,0,A,F,5.1,2020,culvert_paradise,R1023,3.15
15.8,0,A,F,5.35,2022,snake_tree_paradise,R1023,3.23
19.9,0,A,F,5.2,2022,snake_tree_paradise,R1023,4.13
16.3,0,A,F,4.7,2023,culvert_paradise,R1023,3.86
17.8,0,A,F,5.6,2023,bush_paradise,R1023,3.35
19.1,0,A,F,5.25,2023,snake_tree_paradise,R1023,4.44
16.8,0,P,M,2.95,2020,snake_tree_paradise,R1027,2.86
18.3,0,P,M,3.15,2020,J_paradise,R1027,2.35
19.5,0,P,M,3.2,2020,C_paradise,R1027,3.05
20.9,0,P,M,3.55,2020,snake_tree_paradise,R1027,3.59
16.9,0,P,M,3.7,2020,F_paradise,R1028,2.28
18.1,0,P,M,4.45,2020,river_paradise,R1028,2.59
19.6,0,P,M,4.2,2020,N_paradise,R1028,2.69
20.9,0,P,M,4.55,2020,snake_tree_paradise,R1028,3.1
16.8,0,P,F,3.7,2020,runway_paradise,R1029,2.88
19.6,1,P,F,4.2,2013,Q_burrow_coyote,R103,4.55
16.9,0,P,M,3.25,2020,playground_paradise,R1030,2.54
18.1,0,P,M,3.6,2020,playground_paradise,R1030,2.52
19.6,0,P,M,4,2020,beach_paradise,R1030,2.71
20.9,0,P,M,4,2020,J_paradise,R1030,2.81
18.1,0,P,M,3,2020,snake_tree_paradise,R1031_R1278,2.68
